⺼	rou
㤪	yuan
㤫	de
㤬	hui
㤬	kui
㤭	jiao
㤮	guang
㤮	kuang
㤯	jiong
㤯	jun
㤰	zan
㤰	zuo
㤱	dou
㤱	fu
㤲	qie
㤲	qu
㤳	bei
㤴	che
㤴	die
㤴	she
㤴	xi
㤵	ci
㤶	mang
㤶	pang
㤷	han
㤸	xi
㤹	jiu
㤹	qiu
㤺	huang
㤻	luan
㤻	lun
㤼	jie
㤼	qie
㤼	xie
㤽	chou
㤾	san
㤿	yan
㥀	de
㥀	zhi
㥁	de
㥁	zhi
㥁	zhou
㥂	te
㥃	men
㥄	ling
㥅	shou
㥆	dian
㥆	tui
㥇	can
㥈	die
㥉	che
㥉	chi
㥊	peng
㥋	yi
㥌	ju
㥍	ji
㥍	qi
㥎	lai
㥎	li
㥏	tian
㥐	yuan
㥑	you
㥒	cai
㥓	qi
㥔	yu
㥕	lian
㥖	cong
㥗	quan
㥘	qie
㥙	zhong
㥚	yu
㥛	ji
㥛	ke
㥛	su
㥜	wei
㥝	mi
㥝	mian
㥞	cui
㥞	qian
㥞	sui
㥟	xie
㥠	xu
㥡	chi
㥡	xi
㥢	jiu
㥢	qiu
㥣	hui
㥤	jin
㥥	yu
㥦	qie
㥦	xia
㥦	xian
㥧	shun
㥨	chui
㥨	shui
㥨	wei
㥩	duo
㥪	lou
㥫	dun
㥬	pang
㥭	tai
㥮	chao
㥮	zhou
㥯	yin
㥰	sao
㥱	fei
㥲	chen
㥲	shen
㥲	yin
㥳	yuan
㥴	ti
㥴	yi
㥵	hun
㥶	qian
㥶	se
㥷	ye
㥷	yi
㥸	min
㥹	fen
㥺	he
㥻	qi
㥼	yan
㥼	yin
㥽	ce
㥽	ze
㥾	ni
㥿	ao
㦀	feng
㦀	peng
㦁	lian
㦂	chang
㦂	tang
㦃	chan
㦄	ma
㦄	mi
㦅	chai
㦅	di
㦅	die
㦆	hu
㦆	xia
㦇	lu
㦈	gai
㦉	yi
㦊	hua
㦋	zha
㦌	hu
㦌	tui
㦌	xu
㦍	e
㦎	hua
㦎	huo
㦏	sun
㦏	xuan
㦐	ni
㦑	han
㦑	lian
㦑	xian
㦒	li
㦓	ran
㦓	xian
㦔	yan
㦕	long
㦖	men
㦗	jian
㦗	jin
㦘	ji
㦚	bian
㦛	yu
㦜	huo
㦜	xue
㦝	miao
㦞	chou
㦟	hai
㦟	mai
㦠	dui
㦡	le
㦢	jie
㦢	qi
㦣	wei
㦤	yi
㦥	huan
㦥	xian
㦥	xuan
㦦	he
㦦	xi
㦧	can
㦨	lan
㦩	yin
㦪	xie
㦫	za
㦬	luo
㦭	ling
㦮	jian
㦮	qian
㦯	huo
㦰	jian
㦱	wo
㦲	zai
㦳	zai
㦴	ge
㦴	qia
㦵	zhu
㦶	die
㦶	yong
㦷	yong
㦸	ji
㦹	ang
㦹	yang
㦹	ying
㦺	ru
㦻	xi
㦻	zhe
㦼	shuang
㦽	xu
㦽	yu
㦾	yi
㦿	hu
㦿	qian
㧀	ji
㧁	he
㧁	qu
㧂	tian
㧃	jiu
㧃	shou
㧄	qian
㧄	qiu
㧅	dao
㧅	mu
㧆	jin
㧇	mao
㧈	yin
㧉	gai
㧉	hai
㧉	kui
㧉	ye
㧊	ba
㧊	po
㧋	xian
